GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
1400000US36001000100,36001000100,"Census Tract 1, Albany County, New York",843,65,251,59,592,79
1400000US36001000200,36001000200,"Census Tract 2, Albany County, New York",2049,230,509,149,1540,206
1400000US36001000300,36001000300,"Census Tract 3, Albany County, New York",2324,190,856,171,1468,197
1400000US36001000401,36001000401,"Census Tract 4.01, Albany County, New York",1016,80,634,80,382,87
1400000US36001000403,36001000403,"Census Tract 4.03, Albany County, New York",2294,205,1124,187,1170,227
1400000US36001000404,36001000404,"Census Tract 4.04, Albany County, New York",7,6,7,6,0,16
1400000US36001000501,36001000501,"Census Tract 5.01, Albany County, New York",1581,149,392,101,1189,165
1400000US36001000502,36001000502,"Census Tract 5.02, Albany County, New York",952,59,347,58,605,84
1400000US36001000600,36001000600,"Census Tract 6, Albany County, New York",1399,154,156,78,1243,153
1400000US36001000700,36001000700,"Census Tract 7, Albany County, New York",1451,163,551,108,900,143
1400000US36001000800,36001000800,"Census Tract 8, Albany County, New York",884,113,107,48,777,119
1400000US36001001100,36001001100,"Census Tract 11, Albany County, New York",701,65,58,33,643,72
1400000US36001001400,36001001400,"Census Tract 14, Albany County, New York",2601,197,256,98,2345,220
1400000US36001001500,36001001500,"Census Tract 15, Albany County, New York",2381,220,193,78,2188,224
1400000US36001001600,36001001600,"Census Tract 16, Albany County, New York",1724,143,683,97,1041,164
1400000US36001001700,36001001700,"Census Tract 17, Albany County, New York",1902,116,897,117,1005,153
1400000US36001001801,36001001801,"Census Tract 18.01, Albany County, New York",3398,163,2322,174,1076,162
1400000US36001001802,36001001802,"Census Tract 18.02, Albany County, New York",1901,134,1220,100,681,132
1400000US36001001901,36001001901,"Census Tract 19.01, Albany County, New York",1161,87,854,68,307,71
1400000US36001001902,36001001902,"Census Tract 19.02, Albany County, New York",1153,81,1076,100,77,62
1400000US36001002000,36001002000,"Census Tract 20, Albany County, New York",2577,152,1074,202,1503,224
1400000US36001002100,36001002100,"Census Tract 21, Albany County, New York",983,145,137,56,846,146
1400000US36001002200,36001002200,"Census Tract 22, Albany County, New York",1455,109,362,95,1093,126
1400000US36001002300,36001002300,"Census Tract 23, Albany County, New York",926,116,197,68,729,127
1400000US36001002500,36001002500,"Census Tract 25, Albany County, New York",1344,140,208,83,1136,142
1400000US36001002600,36001002600,"Census Tract 26, Albany County, New York",1878,160,653,141,1225,167
1400000US36001012700,36001012700,"Census Tract 127, Albany County, New York",1274,103,408,89,866,133
1400000US36001012800,36001012800,"Census Tract 128, Albany County, New York",1536,147,489,101,1047,147
1400000US36001012900,36001012900,"Census Tract 129, Albany County, New York",1597,131,273,82,1324,133
1400000US36001013000,36001013000,"Census Tract 130, Albany County, New York",2812,161,1925,185,887,179
1400000US36001013100,36001013100,"Census Tract 131, Albany County, New York",1117,112,332,85,785,97
1400000US36001013200,36001013200,"Census Tract 132, Albany County, New York",1523,143,483,103,1040,166
